revenue,profit,balance,transactions,loan_amount,default
123952,36397,98733,46,189739,1
892691,-17642,121306,91,134586,1
837952,197172,352757,176,114958,0
514189,8729,282434,299,167412,0
965277,187863,149083,134,270615,0
290802,190872,385580,285,259612,0
279758,69957,475676,48,50256,0
362547,113152,83034,210,233883,0
408929,-43562,487310,184,226852,1
614283,-33737,400982,97,81596,1
809685,-14883,279482,276,255954,1
814311,95368,405434,171,183289,0
652888,26680,154387,55,131759,0
563320,-5979,315511,31,92560,1
700154,-42229,336563,257,173156,1
521240,42948,250104,83,145980,0
688898,-49875,192211,55,227520,1
198667,169798,486737,220,224319,1
758306,20249,282345,130,192110,0
481835,-23321,37220,81,51784,1
404640,46808,120501,170,294745,0
157067,-3268,199374,24,173984,1
751045,15886,169891,53,121767,0
481679,-8019,24301,300,121302,1
986053,108629,433328,168,245192,0
123410,174225,334013,295,160254,1
746820,-37072,404909,275,240799,1
224491,115761,432789,71,297046,0
725255,184040,347847,73,219297,0
617395,57103,46947,253,174248,0
974808,123108,183478,150,119898,0
370719,-21694,423818,51,198628,1
790541,89514,293682,278,134811,0
989505,174192,118279,156,165593,0
589412,14227,91659,281,227366,0
161096,128206,420580,138,230539,1
349370,194693,414452,249,77071,0
901601,93339,101795,53,107285,0
137257,12914,185017,203,144871,1
514212,-16837,96716,264,61081,1
516738,105553,214686,116,214614,0
202528,16815,308060,285,268041,0
811658,80985,106624,107,84996,0
844567,190775,219871,129,233043,0
552972,90325,456200,102,201615,0
614423,108305,377414,64,278879,0
658969,128128,452189,278,103686,0
387434,82437,70368,193,118540,0
688095,145102,276589,184,265254,0
159906,192060,215065,20,108194,1
574109,13082,432979,140,79853,0
558548,111771,468044,252,205066,0
214114,49268,199800,288,288937,0
811143,34433,285527,117,180197,0
251805,186017,441076,272,53394,0
810265,90164,94272,46,104083,0
308289,67877,472178,277,104216,0
835298,-913,197242,192,166894,1
620378,191949,47657,271,260235,0
566005,-33846,407990,260,197280,1
887447,39554,202041,260,251470,0
680263,187100,393510,129,175560,0
413457,83069,421325,181,51235,0
842511,-11474,298120,194,102157,1
899847,168942,411568,106,143869,0
298644,168141,62337,131,94793,0
787813,68772,400484,119,58568,0
427894,32494,169948,142,246192,0
627945,194110,327889,187,245671,0
272853,165472,316198,78,112978,0
165626,24059,370942,68,148548,1
645796,-22866,337226,235,146561,1
375438,85193,294940,184,200837,0
544225,-613,302587,122,162453,1
568107,33104,369870,22,272491,0
380643,173164,383892,258,252089,0
849361,49024,488908,206,143617,0
353533,57622,60235,146,103649,0
980693,130570,91603,161,273574,0
954908,36621,480372,45,224417,0
561457,101032,186633,250,280074,0
961308,156594,323569,298,176549,0
716428,28964,492789,299,298905,0
340298,74551,79449,219,55408,0
758475,102512,230853,190,125258,0
354276,-9942,404454,243,268257,1
124950,172692,72890,199,192437,1
817918,173224,68849,152,117465,0
502907,113480,459254,274,99722,0
449222,20100,427076,90,285135,0
384691,97588,38651,106,57841,0
347443,109732,125391,217,81107,0
520166,199417,217227,282,130440,0
682862,105828,463815,41,265304,0
731898,123526,224166,258,269500,0
915706,198876,288989,254,138276,0
858439,155623,135824,217,51504,0
333401,81648,115442,255,125135,0
229454,-16395,42258,31,160512,1
109715,17058,340043,57,73432,1
377084,159281,328630,165,253897,0
474415,87701,425995,95,168061,0
311520,65334,423405,172,134534,0
803143,112435,356176,40,191844,0
381417,91599,388196,172,52510,0
241063,36309,73689,76,155262,0
111417,42326,148872,91,130420,1
998122,76611,96548,32,287637,0
756953,91345,177149,116,122333,0
258389,-32118,201493,151,172345,1
172484,-6012,137653,207,253515,1
720999,181990,290842,137,140717,0
750117,1860,120924,92,211700,0
437784,19859,419578,299,249384,0
262003,-48198,129656,137,69692,1
701550,90702,353522,125,99064,0
270176,103359,307876,276,281076,0
360523,118411,429771,108,221674,0
556361,145125,350818,140,97815,0
702449,-10201,322137,255,220597,1
897836,141813,481372,259,248328,0
246892,199169,229519,142,66511,0
842350,-32506,316419,67,101940,1
291676,156415,310891,129,262410,0
328845,75469,379502,260,170778,0
182644,119224,294939,94,126230,1
933483,49694,167735,31,92775,0
460017,114994,219142,242,176345,0
221707,124012,371757,179,91454,0
685764,164969,183871,141,147014,0
760259,5983,392096,102,174042,0
357045,11345,498062,204,122708,0
990067,-12859,124414,213,184117,1
330361,-2890,382032,207,135475,1
835250,84795,128645,122,97413,0
614207,102854,168635,89,257128,0
138529,44372,410821,160,252314,1
482872,16282,68801,150,69735,0
217243,113078,380651,249,131911,0
778873,3115,348472,103,277621,0
697006,94386,37230,48,209194,0
665751,56491,190716,164,295186,0
430656,125650,102270,181,271383,0
545019,111199,79381,105,132509,0
680763,-2443,205888,284,82041,1
581296,35873,329833,100,187360,0
117496,-40748,467423,36,244995,1
417490,69695,144981,61,136859,0
722689,27836,188796,60,134763,0
787218,115493,173173,298,240014,0
624719,59785,317150,23,195318,0
211986,190399,158940,81,295107,0
322701,-27219,141849,152,148066,1
685584,73742,324569,119,133346,0
242687,-1546,39365,42,227076,1
427823,22772,44389,176,258279,0
143055,88324,278067,251,266265,1
608290,149582,273052,152,85609,0
667921,11622,470976,255,112555,0
633943,-11358,243058,138,116023,1
496484,39308,338443,82,124009,0
452541,147383,42498,68,153999,0
609578,51424,385327,156,113770,0
712339,43308,421309,240,106480,0
133078,-6262,409010,238,74397,1
542540,-44450,338806,235,91364,1
302570,-32103,347563,215,107111,1
639240,39454,380609,203,277514,0
609353,97546,49568,259,273257,0
454910,116511,20413,184,199878,0
951001,19608,445151,140,168383,0
887445,147578,107930,69,215400,0
496720,-46222,227372,240,215972,1
658915,146426,66656,93,127608,0
472736,155469,362541,84,144028,0
732955,103339,457887,143,232572,0
583651,-14924,455974,76,98467,1
927828,-27393,249678,175,227183,1
724334,106484,118458,117,69903,0
313478,90914,362674,268,167813,0
674760,198647,315279,273,70850,0
983505,133820,87239,252,272605,0
110265,20353,112601,208,241925,1
792509,73614,480623,187,216983,0
562445,138352,290486,99,250123,0
100905,116012,327525,134,290438,1
555293,148544,424229,103,161318,0
943554,19146,75463,135,142601,0
403408,172964,56057,83,153483,0
406387,-33580,234025,294,227449,1
542349,181317,494619,126,149663,0
569758,-42119,150823,82,100897,1
149739,112924,369698,77,78035,1
361476,78598,354952,143,113025,0
118455,66339,190665,265,194029,1
350087,-13235,433344,74,214867,1
950573,18234,193078,160,101474,0
662110,68753,141799,113,82710,0
856552,-23476,112324,285,103169,1
482100,83784,89234,196,156796,0
397814,-7883,196849,231,160824,1
457689,38414,339088,202,204043,0
468505,187191,311956,40,116266,0
842729,143985,147664,137,224518,0
546767,44601,425611,60,237533,0
717592,195991,231967,85,153032,0
328074,140146,243951,105,93147,0
505495,19757,58021,195,231706,0
387677,149220,357564,258,268420,0
938429,92967,220427,297,262685,0
430652,64479,317459,238,197455,0
154189,144793,297969,290,169487,1
728883,175240,223215,177,123660,0
322418,159477,237296,45,67549,0
349257,110941,483037,161,200734,0
207218,193273,178924,215,208760,0
599554,34497,39134,33,181862,0
893007,121826,198236,185,134032,0
326625,78095,498466,299,214685,0
533123,13679,287323,218,181426,0
241507,172451,224994,64,229705,0
777242,122960,108010,200,261652,0
970484,21712,473529,236,58692,0
406333,-5090,212109,124,190484,1
918716,37743,343854,77,50991,0
274108,-26478,470504,177,192437,1
447030,26804,35971,203,146076,0
669075,149278,232824,191,257364,0
752045,61800,235593,113,221444,0
962212,-8226,296995,177,203302,1
676583,-45287,127763,229,58716,1
358845,66675,324981,68,258558,0
663636,167197,401226,222,127318,0
915170,18799,114746,297,182243,0
479665,67791,284748,46,230335,0
532510,1144,73777,31,293479,0
627992,37353,318587,182,115265,0
907321,110117,106741,24,298630,0
583436,110722,371068,161,220391,0
235488,64860,120302,42,262585,0
768467,190366,165544,130,290617,0
446487,142221,132024,253,169460,0
112252,37715,398644,276,234041,1
672127,141162,251014,136,96036,0
323155,-28407,268478,168,92181,1
185114,38653,114146,223,205914,1
663899,56239,226569,43,52966,0
951349,101554,121716,175,105424,0
106514,198748,341385,74,273075,1
912822,124080,358486,138,113094,0
445838,167434,344621,63,289313,0
574957,18809,138935,292,272416,0
420312,100165,123033,160,210141,0
461160,82670,198981,297,150437,0
954583,183548,171910,107,99308,0
333415,51066,380933,287,285446,0
702898,-27460,316857,146,220203,1
275261,84962,156759,88,112271,0
701160,95814,65900,154,255946,0
294500,170467,274272,126,61528,0
279832,156073,40457,98,259932,0
390347,71830,382825,136,188667,0
746296,48638,116893,207,135936,0
790022,100273,376713,262,263896,0
723749,122671,463825,222,241273,0
469737,2205,462282,50,101357,0
664157,170582,348994,142,143309,0
380466,142253,208348,76,282888,0
594932,-48220,341093,289,289917,1
560302,193132,296490,155,158240,0
282881,61783,413738,152,133994,0
214245,100600,80758,157,274144,0
167813,46841,156628,63,130302,1
382399,177329,269018,294,191782,0
948343,-22902,326678,89,82485,1
446282,80323,170746,135,106491,0
738966,33695,53787,244,275541,0
801954,117163,497660,197,74709,0
923113,80104,392065,33,97099,0
936238,-47908,26896,292,282938,1
596451,-47795,37543,215,150184,1
882436,86139,92285,198,261301,0
551102,181970,285048,29,168314,0
276735,153031,419431,31,143864,0
628223,43069,307094,190,144766,0
336076,145127,228024,113,185281,0
467525,80291,59165,41,270980,0
559654,30850,83959,74,161835,0
127711,-12601,431538,116,295684,1
585028,67706,180774,59,164596,0
898272,93154,30893,299,148738,0
470920,169477,61471,232,237225,0
562081,-19294,273210,155,143266,1
593533,22115,155454,95,296809,0
257062,130140,285647,297,190726,0
795241,75417,270933,151,242679,0
256460,155908,371439,166,247908,0
372327,133951,380423,53,211196,0
656010,-44200,370427,201,157420,1
434121,153435,304059,154,201703,0
860726,66231,329833,272,133286,0
950643,155546,50898,194,251574,0
286305,107258,262515,143,102314,0
729783,151009,156318,143,277337,0
642245,153637,369781,61,126748,0
861305,-47897,418435,23,263689,1
510102,124862,179937,151,129612,0
326873,13922,476345,216,135872,0
673264,23043,406591,49,250272,0
919492,151736,65541,237,283243,0
821559,-30820,421883,26,126467,1
710886,123306,409387,76,265406,0
384164,182641,82937,117,182216,0
985995,100871,349909,72,170517,0
750328,-675,393727,86,171935,1
947516,-8661,382125,276,139813,1
136363,109849,41760,261,92944,1
323427,102884,327302,196,132506,0
232972,22705,30997,255,185120,0
800511,119224,103908,40,91480,0
599458,15325,266076,105,94779,0
438361,175951,468413,76,107125,0
225232,-3375,141628,151,191723,1
204219,132040,87020,109,104939,0
888808,19723,467186,239,219696,0
886041,67879,64879,156,168673,0
570466,142887,59740,273,252748,0
741655,8483,34357,140,150935,0
286127,173540,241977,264,147346,0
958845,175982,168511,137,167201,0
551736,51319,280864,144,227056,0
323433,-30592,405300,220,296844,1
597735,50082,380985,188,119443,0
107973,158558,454052,71,254128,1
962569,100180,183783,107,255597,0
704421,194101,125185,62,106355,0
424559,11495,481162,40,260035,0
898423,83530,201870,85,213935,0
283623,155249,131762,222,168262,0
192057,119047,332283,114,51200,1
600653,-38636,36790,34,110063,1
196838,27853,51211,255,197699,1
154774,68688,342406,257,279944,1
581022,183288,287697,296,256224,0
328877,133216,391204,136,274797,0
402726,184353,288386,61,158880,0
482243,8334,453444,273,70741,0
232030,96589,206781,231,197011,0
351665,16163,112444,157,93369,0
709552,-19367,77667,281,206485,1
436880,-4475,398189,103,158305,1
857090,42097,22068,141,192979,0
523385,26872,209791,28,141394,0
681709,75027,306474,229,104919,0
603130,-43572,427404,46,124470,1
614474,47546,220993,188,98210,0
820671,163890,154796,164,193499,0
881004,151489,367859,298,148040,0
306520,146278,262451,124,212909,0
627232,12671,253056,174,64135,0
450112,112437,151534,39,264637,0
767040,52175,66429,124,176300,0
718453,170124,236144,247,143177,0
928975,28050,201951,82,76347,0
548137,-48566,397446,81,263680,1
810241,171603,28201,273,127109,0
158107,-39685,114682,103,286471,1
617611,94313,157110,119,153735,0
472600,171342,44198,92,59445,0
714722,-27361,78177,65,233013,1
734458,-16162,277874,275,163203,1
710583,179180,335720,156,178374,0
343473,35932,88607,111,263355,0
483360,-31326,395813,148,120220,1
707704,36604,251134,188,112042,0
437316,178091,256261,225,170489,0
392353,4119,205921,81,195767,0
656648,-17490,490486,116,115287,1
634838,109044,155477,36,113289,0
242537,130941,425145,120,152763,0
550984,-38467,452148,271,163819,1
584023,160129,216506,161,115215,0
511692,95506,307738,73,204395,0
144134,120298,430545,46,73464,1
955356,16191,342553,138,221211,0
666578,129377,442098,183,164186,0
574590,29073,110873,183,160740,0
842779,178240,428316,166,276107,0
166393,93679,136729,237,103117,1
155894,83254,281690,126,158736,1
100486,193126,49583,221,181634,1
855792,-19723,191254,173,299969,1
359635,43070,288083,213,223849,0
586257,49879,284758,40,62825,0
879363,-36364,429648,231,115309,1
609802,48146,328486,242,176612,0
528004,1839,125896,77,268483,0
428883,1278,83407,109,75438,0
778083,98866,122152,243,284027,0
212626,-48833,151856,206,255239,1
949357,159246,461722,281,298394,0
752181,184911,474755,201,226228,0
267575,81322,40426,197,136994,0
605978,98044,444074,300,112042,0
862312,20624,241808,200,67933,0
183684,-23947,362177,257,233337,1
744569,44633,157888,289,197392,0
749863,-36298,145953,259,258507,1
679972,-14892,491708,268,165115,1
833265,152456,188271,232,55840,0
390049,115001,73745,239,131499,0
252761,-32267,57236,99,128803,1
162994,-11643,86564,295,67963,1
970426,94145,411838,157,279465,0
588393,15417,491890,213,180019,0
928874,158943,365786,38,223002,0
952321,69408,469127,120,161533,0
112183,85613,316337,251,227556,1
745772,-49727,422159,220,295501,1
655945,-17039,226682,153,244278,1
522046,29976,118689,280,297997,0
221634,-67,445383,76,53770,1
100085,130006,92348,95,232280,1
836973,52433,317138,24,199754,0
426573,152337,105490,224,150034,0
172946,35807,489813,88,147745,1
381020,128117,288214,102,119138,0
509944,197965,473246,32,110231,0
795773,139095,197487,43,291314,0
773634,-37262,129037,170,153855,1
396075,93356,331332,58,101407,0
110835,-24591,262219,213,86187,1
602468,162095,408707,293,192105,0
839223,91189,466960,207,212384,0
900828,5856,28146,124,257568,0
480288,55751,187882,103,116244,0
375393,187022,478324,164,268620,0
247495,122855,404580,128,294214,0
687309,119258,231727,213,178565,0
699908,14109,315790,99,117519,0
345614,144057,398721,35,218621,0
341159,1992,316287,298,59870,0
456436,29350,381028,288,165664,0
684496,122791,264182,21,291364,0
641535,73604,210998,187,249740,0
245157,184549,285897,96,92972,0
537304,193238,28317,101,167258,0
907124,-28252,259815,219,213271,1
501276,1135,363391,269,220085,0
274777,157238,125856,127,159168,0
207458,-15561,348007,193,227702,1
235222,76021,490082,275,174675,0
197419,54553,135456,271,178536,1
157103,113967,159628,202,75052,1
638033,170991,137122,290,232751,0
166553,-47046,68823,67,213955,1
170706,154774,91797,84,279993,1
742455,-30782,360227,205,250870,1
714185,156817,474368,241,110086,0
778368,105735,476554,150,174079,0
677470,61001,25949,254,57840,0
952113,137849,400020,111,178565,0
527284,-8917,393329,77,80536,1
681314,137014,486408,234,115221,0
813187,113708,163752,112,272167,0
235976,45529,234369,219,138903,0
819161,19511,359317,171,70577,0
506489,111974,359578,231,203171,0
268845,-22112,214350,178,172783,1
725339,65222,131582,62,150627,0
274897,84354,478610,265,201984,0
512836,-24961,39555,241,118888,1
748453,111249,129242,155,102638,0
479779,44214,421130,73,207785,0
285113,146631,33800,153,258223,0
504557,14186,302002,249,80911,0
509575,125883,404661,60,182454,0
729753,50970,118523,70,127947,0
434283,68563,290039,191,63465,0
365040,174174,223774,44,240077,0
228843,112030,344286,134,95343,0
755575,146241,262426,22,90588,0
424776,-28602,90917,167,80839,1
723744,5372,94015,262,267065,0
719623,150654,355099,274,100816,0
461169,112942,96503,197,270981,0
415815,131357,390271,141,178074,0
599913,98558,386660,255,171504,0
786630,172319,461392,248,64691,0
634678,30632,375889,92,169951,0
128744,60849,381970,192,239420,1
428753,18920,196900,266,185208,0
432833,116367,461364,61,142661,0
399720,190635,333622,173,152011,0
126847,169109,202285,220,280472,1
126955,74468,315332,77,62954,1
361579,-18782,214275,158,297442,1
398926,49753,196582,283,147141,0
193885,155119,260485,71,255034,1
309750,181242,115536,31,264178,0
933668,46856,205786,203,140358,0
687265,78624,266590,90,87274,0
945393,61577,445425,95,115365,0
685271,93300,366291,222,82796,0
530263,164283,50833,92,124290,0
804190,148878,396248,200,164935,0
549052,193830,436301,108,283154,0
545267,105828,309990,255,285551,0
506920,-46528,208599,296,113371,1
105754,177120,496034,33,272898,1
650252,59797,71488,266,99523,0
989461,54665,221016,254,193386,0
341765,1984,84922,72,148394,0
217735,-40876,277703,63,166285,1
579061,144406,102004,46,155397,0
891009,79480,345290,107,123268,0
406205,144823,193056,225,170907,0
385875,116986,26939,27,104095,0
812033,-28417,307484,151,154055,1
963749,173475,454784,196,258364,0
780809,113704,280288,171,94699,0
731325,128100,422548,191,123434,0
475617,139225,181676,204,136981,0
536792,-43286,479572,26,252115,1
702790,-46798,39255,74,272282,1
225513,-46420,205821,143,162801,1
364985,122192,469871,290,253976,0
186073,-18118,266446,159,100169,1
433709,-17956,258500,195,84111,1
470565,11063,308204,194,216040,0
235351,52664,263697,121,142253,0
315757,151093,160154,101,120732,0
654992,9850,188515,268,158978,0
980593,152778,327149,189,56432,0
965320,177561,191184,175,267198,0
490166,192929,20451,190,214180,0
354684,13894,281109,214,209340,0
424171,142966,259886,249,50862,0
753032,90629,58246,224,99043,0
188532,72738,331233,123,179508,1
795830,174178,428727,116,212222,0
839164,154237,497806,32,247450,0
663157,103830,430624,205,206084,0
897523,90068,255746,285,61731,0
140806,-11102,485735,164,78610,1
296619,140189,388236,70,189738,0
654729,73972,288017,37,191299,0
487848,78180,85892,263,295936,0
417676,124897,76850,294,92486,0
120645,52895,258153,74,171009,1
611781,188881,178838,167,209341,0
201909,160082,328436,65,297348,0
507535,147663,159199,126,85959,0
927805,29762,400407,229,181142,0
938995,199731,268143,42,144152,0
102642,19851,408597,29,244446,1
834242,35960,40019,65,143966,0
282980,-39455,29624,156,148481,1
602159,-12854,343845,134,298474,1
337179,151841,420171,80,242406,0
845094,101803,265526,205,184015,0
115374,-37215,121913,117,262576,1
229838,67617,321151,162,142121,0
355119,165303,24395,95,202987,0
359180,17629,469902,226,177202,0
258915,4943,257184,215,280189,0
311308,-27426,304986,75,236575,1
937629,189285,498386,91,277468,0
955318,-30030,62218,149,148390,1
337240,156814,246908,116,105291,0
425403,103993,497353,175,272199,0
455038,151494,358384,246,276964,0
283352,103472,361830,157,229776,0
226988,-25523,459746,250,53663,1
136666,101645,217917,153,62822,1
666544,185558,152980,291,252973,0
667832,-39687,212501,135,241993,1
379223,24542,273386,71,108470,0
647314,28408,35443,51,91725,0
616972,-39848,106509,263,99830,1
721634,64622,190536,197,229266,0
884549,198845,131717,176,205921,0
105779,190480,180995,276,204635,1
164051,103136,183923,217,254075,1
723710,-45604,241155,183,171902,1
819533,192116,453284,212,53632,0
627107,183675,58561,279,215691,0
694553,147872,160382,111,143507,0
346049,89335,110342,201,254297,0
686353,24519,344094,106,179454,0
148135,-17970,344461,168,159902,1
122317,71148,407793,227,222434,1
418149,36000,39716,62,76002,0
958557,136597,367084,198,179233,0
546158,196925,116123,50,161358,0
642479,46684,441393,145,218945,0
478507,5012,472865,45,229682,0
460911,101420,127325,249,239778,0
108988,-45084,433648,225,157532,1
387971,-250,281872,292,197045,1
595464,155093,493663,151,83439,0
880965,-25234,421230,24,65935,1
585687,52138,99748,153,73109,0
563593,24216,338749,60,73454,0
679149,127983,394332,115,93635,0
681519,-5071,196779,67,64264,1
655929,27231,253968,224,254128,0
306759,191872,366003,256,87486,0
553552,24391,175904,122,198573,0
349214,134464,47697,285,246235,0
382760,185262,226962,225,214635,0
283541,51998,435064,199,50817,0
838647,16069,324912,61,221678,0
777446,85885,308570,20,69075,0
701652,103065,450895,64,267781,0
176371,58800,485567,160,164568,1
185473,9705,22730,90,167894,1
580894,197494,169235,24,145032,0
106443,49504,50432,121,168909,1
946477,-22504,313589,234,68700,1
810258,-21161,121036,171,144641,1
826490,145782,208363,23,86018,0
308391,88932,245361,289,288402,0
605901,180145,46034,170,204969,0
857737,59462,181038,144,166612,0
209104,112932,363723,56,121197,0
666326,-21970,210219,240,155691,1
753568,95151,475389,223,196413,0
931746,197442,306639,178,140742,0
391251,92632,227637,72,103584,0
757301,52673,115869,48,147229,0
636235,74930,280948,268,88931,0
540832,-9392,183294,121,94672,1
967828,109579,278604,160,292438,0
372920,37318,348345,141,226222,0
891978,-6846,456031,222,202654,1
831249,196666,319088,137,244759,0
829632,110832,314022,251,100679,0
919744,24006,359711,170,243004,0
536679,194111,439077,94,215129,0
438310,-4573,375234,272,203735,1
497558,52496,92127,131,236427,0
474364,105495,120188,113,74776,0
841871,178977,251361,223,146489,0
714334,-9935,162733,40,154589,1
822272,172580,344532,79,244371,0
390301,70524,360295,223,81818,0
473534,98641,188758,161,142932,0
870940,187795,344981,298,120417,0
592313,168689,401881,189,290368,0
938403,-48157,376371,218,213676,1
432130,81072,436172,45,121413,0
662791,123396,486717,136,62795,0
112531,-44661,420820,65,131680,1
225016,82696,387483,79,242432,0
645084,17587,289937,170,207630,0
552940,106717,181141,297,53296,0
279076,116275,207523,50,266390,0
396571,198062,408484,100,238570,0
913103,-10108,148802,62,232122,1
554475,130233,389693,193,167751,0
843120,43677,140952,67,234228,0
871510,-19476,418547,186,286071,1
872171,190051,300179,77,135382,0
272634,41004,129378,208,50086,0
582669,129627,349981,172,136212,0
565004,122516,350782,267,283019,0
370136,120069,403899,202,60686,0
255027,22868,313917,104,81437,0
535375,157664,377935,298,68046,0
241217,-7235,198547,104,224245,1
676495,156747,492573,174,166809,0
613295,-46314,495272,94,283000,1
233342,187255,277048,146,87801,0
944879,-30040,417722,298,92616,1
549800,196692,212701,53,70040,0
687234,33380,254829,140,262339,0
527654,2813,148573,106,125273,0
933393,177458,434914,94,240882,0
472031,-5081,53806,178,207835,1
348774,107031,34315,183,232389,0
452025,154561,124225,206,175258,0
722919,46211,206766,265,298599,0
720399,-38322,233468,155,235725,1
676077,181854,318668,147,125282,0
720995,92810,144375,147,258416,0
190538,143808,103812,188,190505,1
504211,38695,405008,84,100995,0
175466,51555,52281,299,151441,1
730862,50426,176357,298,242734,0
206378,60660,351921,273,244622,0
395975,34217,167344,299,123087,0
237497,106876,424593,109,220444,0
264539,45058,52857,147,110198,0
481133,126091,357281,23,159966,0
473833,153885,143096,35,245630,0
398380,131418,82751,282,86179,0
193426,104801,204051,39,108084,1
493899,47419,325262,84,199507,0
356932,135294,55543,174,124541,0
390635,70600,414255,27,96455,0
312455,94266,153827,57,282392,0
961335,101617,248336,58,133055,0
890362,-18859,206943,283,50058,1
974181,-2657,57129,107,191857,1
218306,130856,117919,214,294708,0
832396,6709,190601,229,95756,0
752485,154151,153899,90,109287,0
243069,187676,66671,128,168369,0
773974,-17668,345709,154,106000,1
361488,164734,177102,178,146937,0
899640,114680,374977,129,71758,0
620447,149929,377025,263,159670,0
839350,100604,152738,189,178666,0
292729,42149,63038,282,114143,0
731836,24476,282168,212,105299,0
389439,171657,392326,158,212952,0
386857,146052,184460,277,102132,0
737204,162006,472694,189,219592,0
798137,41809,210115,298,86904,0
209798,58188,192457,21,274816,0
784900,107139,301563,167,285696,0
171568,-49832,125885,240,229193,1
380339,145246,216300,261,272906,0
934941,138901,399510,259,232256,0
602307,78362,449253,233,63106,0
772213,171574,304007,20,163597,0
757948,20204,447483,146,79717,0
491196,-648,342511,237,199145,1
819870,74976,63180,101,182882,0
257571,186122,98156,42,138820,0
933945,151148,124334,98,92950,0
413630,-23703,243816,79,289234,1
260823,-1213,423083,234,284792,1
634368,112542,29829,157,265106,0
703200,60436,397845,74,189451,0
965676,-23383,75005,42,240321,1
613101,52312,281716,164,184367,0
544047,142902,175543,239,93354,0
342652,123354,278535,55,267425,0
824847,59462,81150,122,239897,0
147661,112566,374539,142,106664,1
801156,-11490,322141,286,138768,1
562791,136864,444200,297,208429,0
392560,20970,413672,75,155850,0
691864,-19103,217703,261,105923,1
237225,116921,441588,131,126568,0
653816,-5631,242498,125,182803,1
853372,-426,424145,72,137611,1
612140,185338,227291,101,164998,0
641673,166116,48538,201,208539,0
559100,169771,450587,194,111938,0
148148,43038,346092,283,100009,1
406630,147963,447503,237,140902,0
468589,34030,214934,117,53850,0
501554,4149,358015,157,223242,0
536948,14463,199064,109,270691,0
743175,119170,403541,165,119338,0
918617,166345,348981,112,118146,0
266336,127401,195798,154,66710,0
659435,-39395,437659,84,113318,1
347447,163110,333112,215,224520,0
745805,-22866,22204,218,242105,1
639406,91801,467280,206,181933,0
237655,116431,284327,91,108259,0
244647,135007,350016,300,246524,0
494987,113198,53027,256,131789,0
614716,-26521,203105,98,96893,1
884058,57929,466592,204,243692,0
382827,129280,145700,269,111608,0
602437,168817,376227,124,113621,0
180271,5130,350174,175,297733,1
586100,148789,358269,237,140964,0
920646,-9384,373966,251,158011,1
378999,188051,497103,232,103007,0
384133,15619,176299,82,147519,0
670973,166212,355231,196,117843,0
106089,173360,220100,127,256241,1
822204,130692,84373,291,280159,0
237389,126544,181849,101,237947,0
636512,-16851,402108,69,163014,1
343754,60856,394423,157,51696,0
645894,152069,449247,126,57872,0
783024,23029,427267,178,197458,0
712562,-31441,105942,261,279114,1
836817,6422,369887,226,58562,0
830204,31109,162127,215,208754,0
207550,131607,375651,253,197348,0
169250,-36396,258416,45,276598,1
571195,-20417,84403,92,75051,1
800179,61999,32344,286,186067,0
274270,108380,227808,55,118405,0
742366,116219,81983,69,259760,0
428084,145856,250137,155,273224,0
518672,-48971,348581,135,76052,1
240868,-32535,337148,228,89231,1
686173,79074,370402,293,262332,0
207914,19250,96971,244,276768,0
598191,158746,185738,207,157119,0
909529,40648,232741,70,169206,0
998863,12095,432462,167,113534,0
826959,8092,294282,234,130862,0
174882,22370,232719,71,130584,1
118731,21861,101326,91,204925,1
582468,55334,371932,233,299978,0
410282,129987,462063,274,198073,0
348056,84489,353281,294,94358,0
182051,38906,84347,242,247197,1
147085,152865,166345,53,232349,1
589586,-32670,130781,89,159173,1
103070,90144,56542,210,69534,1
231578,169594,164908,109,77868,0
140682,145675,59651,91,86448,1
357451,-44739,338232,158,237371,1
299100,178860,46123,96,206560,0
693822,-46020,240150,261,162440,1
699137,32281,26223,80,138289,0
985538,98942,401643,167,192020,0
428022,-40268,129682,190,110739,1
134700,181800,425156,267,257917,1
670131,87291,136046,108,129948,0
165313,184160,315646,252,250566,1
830998,15847,167821,88,52976,0
413232,-19094,129464,104,217427,1
766235,101029,183738,179,183526,0
749494,123360,486136,31,223976,0
487483,127178,404726,260,212091,0
656257,191267,127616,192,143338,0
833546,27928,369472,38,225685,0
470778,167120,144818,100,130238,0
728142,167346,160311,127,62040,0
367008,52475,363051,104,109505,0
766149,187801,453843,137,217824,0
880083,-11448,110102,270,177714,1
347470,3136,360112,178,142990,0
364761,138966,326123,279,205692,0
696762,98802,89312,187,113984,0
434488,-6568,86760,156,282081,1
636848,75118,46164,185,67477,0
558658,197076,240138,51,120954,0
451392,176643,243662,50,297080,0
876844,-15409,214786,234,255593,1
388260,148394,31244,152,237808,0
182933,74133,401748,181,254782,1
962679,145221,20473,197,278330,0
566663,-26174,453785,235,125888,1
233551,-6898,151552,276,116443,1
889926,-34880,56369,192,246425,1
622543,174132,201715,149,204089,0
846554,136004,158861,265,65148,0
435950,-3586,292659,178,56981,1
626406,138137,156140,69,234237,0
359561,33380,448784,102,245472,0
914792,80583,234455,148,152870,0
571158,159800,303297,188,258604,0
741366,13973,182296,95,164135,0
964116,63807,104796,55,160222,0
161099,115907,493389,131,160133,1
549166,2551,232215,171,211306,0
543192,188485,367257,259,299901,0
474231,-27859,148951,175,218325,1
519516,172606,251533,51,160099,0
833293,93431,460737,78,65732,0
